Insurer Specific,Trade,Item Keyword/s,Item Description,Unit, Trade Labour Rate /H , Labour /Unit , Materials /Unit , Total /Unit ,Estimate Hours,Date last updated 
,,,,,,,,,,
Default,Builder,,Builder Hourly Rate,Hour, $ 80.00 ,,,,,
,Builder,BuildersClean,Carry out final builders clean [{QTY} unit],Unit, $ 80.00 , $ 250.00 , $ -   , $ 250.00 ,3.125,
Default,Cabinet Maker,,Cabinet Maker Hourly Rate,Hour, $ 80.00 ,,,,0,
Default,Cabinet Maker,Cabinet Quote,Cabinet quote. [{QTY} Unit] NOTE: Quoted by ,Each, $ 80.00 , $ -   , $ -   , $ -   ,0,
Default,Cabinet Maker,"vanityRemoveCheck
Vanity check",Remove single vanity and check for damage including quote for resulting damage if required. [{QTY} unit],Each, $ 80.00 , $ 350.00 , $ -   , $ 350.00 ,4.375,
Default,Cabinet Maker,,Internal - Remove double vanity and check for damage including quote for resulting damage if required. [{QTY} unit],Each, $ 80.00 , $ -   , $ 700.00 , $ 700.00 ,0,
Default,Carpenter,,Carpenter Hourly Rate,Hour, $ 80.00 ,,,,0,
Default,Carpenter,skirting,"Remove, dispose, supply and install skirting boards in a similar profile to existing ({Skirting material if known, Skirting profile if known, skirting size if known})",LM, $ 80.00 , $ 20.00 , $ 8.00 , $ 28.00 ,0.25,
Midcity,Carpenter,skirting,"Remove, dispose, supply and install MDF skirting boards in a similar profile to existing. [{QTY} lm]",LM, $ 80.00 , $ 20.00 , $ 8.00 , $ 28.00 ,0.25,
Default,Carpenter,towelrailrr,Remove/reinstall towel rail. [{QTY} unit],unit, $ 80.00 , $ 100.00 , $ -   , $ 100.00 ,1.25,
Default,Carpenter,doorinternal,"Remove, dispose, supply and install internal door, hollow core. Re use existing hardware. [{QTY} unit]",Each, $ 80.00 , $ 200.00 , $ 50.00 , $ 250.00 ,2.5,
Default,Carpenter,doorexternal,"Remove, dispose, supply and install internal door, solid (entersize) in a similar style to existing. [{QTY} unit]",Each, $ 80.00 , $ -   , $ 750.00 , $ 750.00 ,0,
Default,Carpenter,shelving,"Remove, dispose, supply and install melamine shelving including timber rails. Re use hanging rod if applicable. [{QTY} lm]",Each, $ 80.00 , $ 100.00 , $ 50.00 , $ 150.00 ,1.25,
Default,Carpenter,,Skirting- Note: once over 20LM = Price at $20 per LM,Each, $ 80.00 , $ -   , $ -   , $ -   ,0,
,Carpenter,wardrobeDoorsBack,Reinstate wardrobe doors. [{QTY} unit],,,,,,#DIV/0!,
,Carpenter,wardrobeShelvingBack,Reinstate wardrobe shelving including timber rails. [{QTY} unit],,,,,,#DIV/0!,
,Carpet Layer,carpet,"Remove, dispose, supply and install carpet and underlay (see addenda). [{QTY}.0 sqm] NOTE: If carpet discontinued please arrange reselection by owner of carpet of similar quality to existing.",Each, $ 80.00 , $ 40.00 , $ 55.00 , $ 95.00 ,0.5,
Default,Ceiling Fixer,,Ceiling fixer Hourly Rate,Hour, $ 80.00 ,,,,0,
,Ceiling Fixer,ceiling,Repair plasterboard ceiling ready for painting. [{QTY}.0m2],m2, $ 80.00 , $ 175.00 , $ 25.00 , $ 200.00 ,2.1875,
,Ceiling Fixer,"ceiling patch
ceiling {number of patches} patch {QTY}",Repair {number of patches} ceiling excavations. [{QTY}.0 units],Units, $ 80.00 , $ 180.00 , $ 20.00 , $ 200.00 ,2.25,
,Ceiling Fixer,cornice patch,Repair plasterboard cornice in 1 x areas. [{QTY}.0 lm],each, $ 80.00 , $ 70.00 , $ 10.00 , $ 80.00 ,0.875,
,Ceiling Fixer,replace cornice,"Remove, dispose, supply and install plasterboard cornice in {QTY} x areas.[{QTY}.0lm]",lm, $ 80.00 , $ 20.00 , $ 8.00 , $ 28.00 ,0.25,
,Ceiling Fixer,insulation,"Remove, dispose, supply and install ceiling insulation batts R4.1. [{QTY}.0m2]",m2, $ 80.00 , $ 10.00 , $ 10.00 , $ 20.00 ,0.125,
,Ceiling Fixer,"popped screws
popped ceiling screws
re screw ceiling","Re-screw, flush and sand plasterboard ceiling, leave ready for painting. [{QTY}.0m2]",Each, $ 80.00 , $ -   , $ -   , $ -   ,0,
,Cleaner,,Cleaner Hourly Rate,Hour, $ 60.00 ,,,,0,
,Cleaner,Efflorescenceclean,Clean the efflorescence residue from the tile grout lines. [{QTY} unit],Unit, $ 60.00 , $ 300.00 , $ 20.00 , $ 320.00 ,5,1/12/2025
,Cleaner,cleanWhiteResidue,Clean white residue from Colorbond fence. [1 unit],,,,,,#DIV/0!,
,Electrician,,Electrician Hourly Rate,Hour, $ 120.00 ,,,,0,
,Electrician,lightBayonetSINGLE,Supply and install bayonet light fitting in a similar style to existing. [{QTY} unit],Each, $ 120.00 , $ 270.00 , $ 30.00 , $ 300.00 ,2.25,
,Electrician,lightOysterSINGLE,Supply and install Oyster light fitting in a similar style to existing. [{QTY} unit],Each, $ 120.00 , $ 270.00 , $ 100.00 , $ 370.00 ,2.25,
,Electrician,downlightSINGLE,Supply and install downlight in a similar style to existing. [{QTY} unit],Each, $ 120.00 , $ 270.00 , $ 30.00 , $ 300.00 ,2.25,
,Electrician,downlightBULK,Supply and install downlight in a similar style to existing. [{QTY} unit],Each, $ 120.00 , $ 60.00 , $ 30.00 , $ 90.00 ,0.5,
,Electrician,exhaustfanSINGLE,"Supply and install exhaust fan in a similar style to existing, [{QTY} unit]",Each, $ 120.00 , $ 270.00 , $ 100.00 , $ 370.00 ,2.25,
,Electrician,downlightrrSINGLE,Disconnect / reconnect downlights to facilitate ceiling repairs. [{QTY} unit],Each, $ 120.00 , $ 360.00 , $ -   , $ 360.00 ,3,4/17/2026
,Electrician,downlightrrBULK,Disconnect / reconnect downlights to facilitate ceiling repairs. [{QTY} unit],Each, $ 120.00 , $ 60.00 , $ -   , $ 60.00 ,0.5,4/17/2026
,Electrician,exhaustfanrrSINGLE,Disconnect / reconnect exhaust fan to facilitate ceiling repairs. [{QTY} unit],Each, $ 120.00 , $ 360.00 , $ -   , $ 360.00 ,3,
,Electrician,exhaustfanrrBULK,Disconnect / reconnect exhaust fan to facilitate ceiling repairs. [{QTY} unit],Each, $ 120.00 , $ 120.00 , $ -   , $ 120.00 ,1,
,Electrician,GPOreconnect,Reconnect existing GPO. [{QTY} unit],Each, $ 120.00 , $ 180.00 , $ -   , $ 180.00 ,1.5,4/17/2026
,Electrician,GPOrrSINGLE,Disconnect / reconnect GPO to facilitate repairs. [{QTY} unit],Each, $ 120.00 , $ 360.00 , $ -   , $ 360.00 ,3,4/17/2026
,Electrician,GPOrrBULK,Disconnect / reconnect GPO to facilitate repairs. [{QTY} unit],Each, $ 120.00 , $ 120.00 , $ -   , $ 120.00 ,1,4/17/2026
,Electrician,Ovenreconnect,Reconnect existing Oven. [{QTY} unit],Each, $ 120.00 , $ 280.00 , $ -   , $ 280.00 ,2.333333333,4/17/2026
,Electrician,Ovenrr,Disconnect / reconnect Oven. [{QTY} unit],Each, $ 120.00 , $ 400.00 , $ -   , $ 400.00 ,3.333333333,4/17/2026
,Fencer,,Fencer Hourly Rate,Hour, $ 80.00 ,,,,0,
,Fencer,,Dividing Fence - Hardiefence to Colorbond,,,,, $ -   ,#DIV/0!,
,Fencer,,50% CASH SETTLEMENT - Remove and dispose of 1 Hardiefence sheets. Supply and install Colorbond metal fencing to ****** elevation. [1.0 Linear m],LM,, $ 25.00 , $ 45.00 , $ 70.00 ,#DIV/0!,
,Fencer,,Dividing Fence - Hardiefence to Colorbond 150mm Plinth,,,,, $ -   ,#DIV/0!,
,Fencer,,50% CASH SETTLEMENT - Remove and dispose of 1 Hardiefence sheets. Supply and install Colorbond metal fencing to ***** elevation with 150mm high plinth. [1.0 Linear m],LM,, $ 40.00 , $ 52.00 , $ 92.00 ,#DIV/0!,
,Fencer,,Dividing Fence - Hardiefence to Colorbond 300mm Plinths,,,,, $ -   ,#DIV/0!,
,Fencer,,50% CASH SETTLEMENT - Remove and dispose of 1 Hardiefence sheets. Supply and install Colorbond metal fencing to ***** elevation with 300mm high plinth. [1.0 Linear m],LM,, $ 50.00 , $ 80.00 , $ 130.00 ,#DIV/0!,
,Fencer,,50% CASH SETTLEMENT - Remove and dispose of 1 linear meters of Colorbond fence. Supply and install Colorbond metal fencing to ***** elevation. [1.0 Linear m],LM,, $ 25.00 , $ 45.00 , $ 70.00 ,#DIV/0!,
,Fencer,,50% CASH SETTLEMENT - Remove and dispose of 1 asbestos fence sheets. Supply and install Colorbond metal fencing to ***** elevation. [1.0 Linear m],LM,, $ 40.00 , $ 55.00 , $ 95.00 ,#DIV/0!,
,Fencer,,Dividing Fence - Asbestos to Colorbond 150mm Plinth,,,,, $ -   ,#DIV/0!,
,Fencer,,50% CASH SETTLEMENT - Remove and dispose of 1 asbestos sheets. Supply and install Colorbond metal fencing to ***** elevation with 150mm high plinth. [1.0 Linear m],LM,, $ 65.00 , $ 52.00 , $ 117.00 ,#DIV/0!,
,Fencer,,Dividing Fence - Asbestos to Colorbond 300mm Plinth,,,,, $ -   ,#DIV/0!,
,Fencer,,50% CASH SETTLEMENT - Remove and dispose of 1 asbestos sheets. Supply and install Colorbond metal fencing to ***** elevation with 300mm high plinth. [1.0 Linear m],LM,, $ 75.00 , $ 80.00 , $ 155.00 ,#DIV/0!,
,Fencer,,Wholly Owned Fence - Asbestos to Colorbond,,,,, $ -   ,#DIV/0!,
,Fencer,,Remove and dispose of 1 asbestos fence sheets. Supply and install Colorbond metal fencing to ***** elevation. [1.0 Linear m],LM,, $ 100.00 , $ 90.00 , $ 190.00 ,#DIV/0!,
,Fencer,,Wholly Owned Fence - Hardiefence to Colorbond,,,,, $ -   ,#DIV/0!,
,Fencer,,Remove and dispose of 1 Hardiefence sheets. Supply and install Colorbond metal fencing to ***** elevation. [1.0 Linear m],LM,, $ 10.00 , $ 130.00 , $ 140.00 ,#DIV/0!,
,Fencer,,Wholly Owned Fence - Hardiefence to Colorbond 150mm Plinth,,,,, $ -   ,#DIV/0!,
,Fencer,,Remove and dispose of 1 Hardiefence sheets. Supply and install Colorbond metal fencing and 150mm plinths to ***** elevation. [1.0 Linear m],LM,, $ 40.00 , $ 144.00 , $ 184.00 ,#DIV/0!,
,Painter,,Prepare and paint MDF skirting boards in a similar colour and paint finish to the existing. [1.0 Linear m],LM,, $ 10.00 , $ 2.00 , $ 12.00 ,#DIV/0!,
,Painter,,Prepare and paint door in a similar colour and paint finish to the existing. [1 Unit],Each,, $ 100.00 , $ 35.00 , $ 135.00 ,#DIV/0!,
,Glazier,,Glazier Hourly Rate,Hour, $ 80.00 ,,,,0,
,Glazier,shower Screen RR,Remove / reinstate standard shower screen to facilitate tiling repairs. [1 Unit],Each, $ 80.00 , $ 450.00 , $ -   , $ 450.00 ,5.625,
,Glazier,"shower screen back
shower Screen Reinstate",Reinstate standard shower screen. [1 Unit],Each, $ 80.00 , $ 225.00 , $ -   , $ 225.00 ,2.8125,
